timestamp,username,video_id,previous_views,current_views,delta
2025-09-18T13:34:21.579522,BlushPetals8654,7551350667781164318,3,3,0
2025-09-18T13:34:21.579648,BlushPetals8654,7551350024861469982,420,420,0
2025-09-18T13:34:21.579766,BlushPetals8654,7551340067696954654,69,69,0
2025-09-18T13:34:21.579957,BlushPetals8654,7551339227254983966,564,564,0
2025-09-18T13:36:10.581666,BlushPetals8654,7551405301086358815,0,0,0
2025-09-18T13:36:10.582130,BlushPetals8654,7551350667781164318,3,3,0
2025-09-18T13:36:10.582234,BlushPetals8654,7551350024861469982,420,420,0
2025-09-18T13:36:10.582317,BlushPetals8654,7551340067696954654,69,71,2
2025-09-18T13:36:11.558219,BlushPetals8654,7551339227254983966,564,564,0
2025-09-18T13:36:42.098175,BlushPetals8654,7551405301086358815,0,0,0
2025-09-18T13:36:42.098366,BlushPetals8654,7551350667781164318,3,3,0
2025-09-18T13:36:42.098459,BlushPetals8654,7551350024861469982,420,420,0
2025-09-18T13:36:42.098542,BlushPetals8654,7551340067696954654,71,71,0
2025-09-18T13:36:42.098619,BlushPetals8654,7551339227254983966,564,564,0
2025-09-18T13:38:00.904088,BlushPetals8654,7551405301086358815,0,0,0
2025-09-18T13:38:00.904496,BlushPetals8654,7551350667781164318,3,3,0
2025-09-18T13:38:00.904601,BlushPetals8654,7551350024861469982,420,420,0
2025-09-18T13:38:00.904689,BlushPetals8654,7551340067696954654,71,72,1
2025-09-18T13:38:01.919871,BlushPetals8654,7551339227254983966,564,564,0
2025-09-18T13:38:30.381463,BlushPetals8654,7551405301086358815,0,0,0
2025-09-18T13:38:30.382075,BlushPetals8654,7551350667781164318,3,3,0
2025-09-18T13:38:30.382186,BlushPetals8654,7551350024861469982,420,420,0
2025-09-18T13:38:30.382267,BlushPetals8654,7551340067696954654,72,72,0
2025-09-18T13:38:30.382339,BlushPetals8654,7551339227254983966,564,564,0
2025-09-18T13:39:50.330759,BlushPetals8654,7551405301086358815,0,0,0
2025-09-18T13:39:50.331174,BlushPetals8654,7551350667781164318,3,3,0
2025-09-18T13:39:50.331297,BlushPetals8654,7551350024861469982,420,420,0
2025-09-18T13:39:50.331380,BlushPetals8654,7551340067696954654,72,74,2
2025-09-18T13:39:51.577999,BlushPetals8654,7551339227254983966,564,564,0
2025-09-18T13:40:18.739586,BlushPetals8654,7551405301086358815,0,0,0
2025-09-18T13:40:18.740003,BlushPetals8654,7551350667781164318,3,3,0
2025-09-18T13:40:18.740109,BlushPetals8654,7551350024861469982,420,420,0
2025-09-18T13:40:18.740206,BlushPetals8654,7551340067696954654,74,74,0
2025-09-18T13:40:18.740279,BlushPetals8654,7551339227254983966,564,564,0
2025-09-18T13:41:40.142961,BlushPetals8654,7551405301086358815,0,0,0
2025-09-18T13:41:40.143371,BlushPetals8654,7551350667781164318,3,3,0
2025-09-18T13:41:40.143460,BlushPetals8654,7551350024861469982,420,420,0
2025-09-18T13:41:40.143539,BlushPetals8654,7551340067696954654,74,74,0
2025-09-18T13:41:40.143610,BlushPetals8654,7551339227254983966,564,564,0
2025-09-18T13:42:07.083130,BlushPetals8654,7551405301086358815,0,0,0
2025-09-18T13:42:07.083469,BlushPetals8654,7551350667781164318,3,3,0
2025-09-18T13:42:07.083556,BlushPetals8654,7551350024861469982,420,420,0
2025-09-18T13:42:07.083628,BlushPetals8654,7551340067696954654,74,74,0
2025-09-18T13:42:07.083697,BlushPetals8654,7551339227254983966,564,564,0
2025-09-18T13:43:29.953341,BlushPetals8654,7551405301086358815,0,0,0
2025-09-18T13:43:29.953818,BlushPetals8654,7551350667781164318,3,3,0
2025-09-18T13:43:29.954095,BlushPetals8654,7551350024861469982,420,420,0
2025-09-18T13:43:29.954434,BlushPetals8654,7551340067696954654,74,74,0
2025-09-18T13:43:29.954561,BlushPetals8654,7551339227254983966,564,564,0
2025-09-18T13:43:55.472283,BlushPetals8654,7551405301086358815,0,0,0
2025-09-18T13:43:55.472921,BlushPetals8654,7551350667781164318,3,3,0
2025-09-18T13:43:55.473248,BlushPetals8654,7551350024861469982,420,420,0
2025-09-18T13:43:55.473397,BlushPetals8654,7551340067696954654,74,74,0
2025-09-18T13:43:55.473501,BlushPetals8654,7551339227254983966,564,564,0
2025-09-18T13:45:18.474313,BlushPetals8654,7551405301086358815,0,0,0
2025-09-18T13:45:18.476211,BlushPetals8654,7551350667781164318,3,3,0
2025-09-18T13:45:18.476387,BlushPetals8654,7551350024861469982,420,421,1
2025-09-18T13:45:19.549856,BlushPetals8654,7551340067696954654,74,74,0
2025-09-18T13:45:19.550270,BlushPetals8654,7551339227254983966,564,564,0
2025-09-18T13:45:43.958614,BlushPetals8654,7551405301086358815,0,0,0
2025-09-18T13:45:43.959242,BlushPetals8654,7551350667781164318,3,3,0
2025-09-18T13:45:43.959397,BlushPetals8654,7551350024861469982,421,421,0
2025-09-18T13:45:43.959993,BlushPetals8654,7551340067696954654,74,74,0
2025-09-18T13:45:43.960102,BlushPetals8654,7551339227254983966,564,564,0
2025-09-18T13:47:08.788644,BlushPetals8654,7551405301086358815,0,0,0
2025-09-18T13:47:08.789330,BlushPetals8654,7551350667781164318,3,3,0
2025-09-18T13:47:08.789452,BlushPetals8654,7551350024861469982,421,421,0
2025-09-18T13:47:08.789549,BlushPetals8654,7551340067696954654,74,74,0
2025-09-18T13:47:08.789688,BlushPetals8654,7551339227254983966,564,564,0
